"Nationality","2002 Student Count","2003 Student Count","2004 Student Count","2005 Student Count","2006 Student Count","2007 Student Count","2008 Student Count","2009 Student Count","2010 Student Count","2011 Student Count","2012 Student Count","2013 Student Count","2014 Student Count","2015 Student Count","2016 Student Count","2017 Student Count","2018 Student Count","2019 Student Count","2020 Student Count","2021 Student Count"
"China",29897,39162,48521,57200,64232,75652,88888,104106,112027,108002,101586,99211,106118,119791,138336,164563,187130,192906,176958,160061
"Indonesia",16246,15668,14146,12680,,11324,11588,,,12852,12813,12366,12406
"Malaysia",15941,18158,18377,17706,17460,18069,19028,20838,20972,20264,18965,18059,18134,19284,21542,24250,24727,23132,19862,14882
"Hong Kong (SAR of China)",14156,15938,15902,14427,12521
"Korea, Republic of (South)",13996,15846,17044,18430,21827,24767,25385,25317,23968,20633,18754,18100,18119,18531,19734,20291,19860,19329
"Japan",12372,13943,14503,13879,13047,11897
"Singapore",11282
"India",,11800,17285,22146,29087,44687,62922,84239,67321,46673,35349,32190,40786,48268,54589,63950,79501,104291,109777,96334
"Thailand",,,,,11688,12919,14289,16190,15066,13056,12063,12069,14110,15107,16795
"Nepal",,,,,,,10952,17076,14215,,,,,13662,16431,24882,37735,50088,50726,44287
"Vietnam",,,,,,,,15376,17537,17085,16170,17533,20268,20023,20576,21973,22499,23911,23605,19974
"Brazil",,,,,,,,,,,,,,,,20018,23116,23761,21134,14437
"Colombia",,,,,,,,,,,,,,,,,,,18588,14425